,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
37,comprometido con la productiva región de los altos de jalisco,"['comprometido', 'con', 'la', 'productiva', 'región', 'de', 'los', 'altos', 'de', 'jalisco']","[('comprometido', 'con'), ('con', 'la'), ('la', 'productiva'), ('productiva', 'región'), ('región', 'de'), ('de', 'los'), ('los', 'altos'), ('altos', 'de'), ('de', 'jalisco')]","[('comprometido', 'con', 'la'), ('con', 'la', 'productiva'), ('la', 'productiva', 'región'), ('productiva', 'región', 'de'), ('región', 'de', 'los'), ('de', 'los', 'altos'), ('los', 'altos', 'de'), ('altos', 'de', 'jalisco')]",comprometido con el productivo región de el alto de jalisco,"['comprometido', 'productivo', 'región', 'alto', 'jalisco']",0.10390162070063978
38,pues así así como que mucha lucha con la corrupción no hubo,"['pues', 'así', 'así', 'como', 'que', 'mucha', 'lucha', 'con', 'la', 'corrupción', 'no', 'hubo']","[('pues', 'así'), ('así', 'así'), ('así', 'como'), ('como', 'que'), ('que', 'mucha'), ('mucha', 'lucha'), ('lucha', 'con'), ('con', 'la'), ('la', 'corrupción'), ('corrupción', 'no'), ('no', 'hubo')]","[('pues', 'así', 'así'), ('así', 'así', 'como'), ('así', 'como', 'que'), ('como', 'que', 'mucha'), ('que', 'mucha', 'lucha'), ('mucha', 'lucha', 'con'), ('lucha', 'con', 'la'), ('con', 'la', 'corrupción'), ('la', 'corrupción', 'no'), ('corrupción', 'no', 'hubo')]",pues así así como que mucho lucha con el corrupción no haber,"['lucha', 'corrupción']",0.0035847885399238203
39,y el mejor horario para los,"['y', 'el', 'mejor', 'horario', 'para', 'los']","[('y', 'el'), ('el', 'mejor'), ('mejor', 'horario'), ('horario', 'para'), ('para', 'los')]","[('y', 'el', 'mejor'), ('el', 'mejor', 'horario'), ('mejor', 'horario', 'para'), ('horario', 'para', 'los')]",y el mejor horario para el,['horario'],0.7301124156256802
40,con liderazgos importantes militantes y simpatizantes de,"['con', 'liderazgos', 'importantes', 'militantes', 'y', 'simpatizantes', 'de']","[('con', 'liderazgos'), ('liderazgos', 'importantes'), ('importantes', 'militantes'), ('militantes', 'y'), ('y', 'simpatizantes'), ('simpatizantes', 'de')]","[('con', 'liderazgos', 'importantes'), ('liderazgos', 'importantes', 'militantes'), ('importantes', 'militantes', 'y'), ('militantes', 'y', 'simpatizantes'), ('y', 'simpatizantes', 'de')]",con liderazgo importante militante y simpatizante de,"['liderazgo', 'importante', 'militante', 'simpatizante']",0.46511884455441777
41,en tepa y todos los altos hay gente trabajadora buena y dedicada que con o sin apoyo han sabido construir una de las regiones más fértiles y productivas de méxico y de toda américa gracias por recibirme este domingo,"['en', 'tepa', 'y', 'todos', 'los', 'altos', 'hay', 'gente', 'trabajadora', 'buena', 'y', 'dedicada', 'que', 'con', 'o', 'sin', 'apoyo', 'han', 'sabido', 'construir', 'una', 'de', 'las', 'regiones', 'más', 'fértiles', 'y', 'productivas', 'de', 'méxico', 'y', 'de', 'toda', 'américa', 'gracias', 'por', 'recibirme', 'este', 'domingo']","[('en', 'tepa'), ('tepa', 'y'), ('y', 'todos'), ('todos', 'los'), ('los', 'altos'), ('altos', 'hay'), ('hay', 'gente'), ('gente', 'trabajadora'), ('trabajadora', 'buena'), ('buena', 'y'), ('y', 'dedicada'), ('dedicada', 'que'), ('que', 'con'), ('con', 'o'), ('o', 'sin'), ('sin', 'apoyo'), ('apoyo', 'han'), ('han', 'sabido'), ('sabido', 'construir'), ('construir', 'una'), ('una', 'de'), ('de', 'las'), ('las', 'regiones'), ('regiones', 'más'), ('más', 'fértiles'), ('fértiles', 'y'), ('y', 'productivas'), ('productivas', 'de'), ('de', 'méxico'), ('méxico', 'y'), ('y', 'de'), ('de', 'toda'), ('toda', 'américa'), ('américa', 'gracias'), ('gracias', 'por'), ('por', 'recibirme'), ('recibirme', 'este'), ('este', 'domingo')]","[('en', 'tepa', 'y'), ('tepa', 'y', 'todos'), ('y', 'todos', 'los'), ('todos', 'los', 'altos'), ('los', 'altos', 'hay'), ('altos', 'hay', 'gente'), ('hay', 'gente', 'trabajadora'), ('gente', 'trabajadora', 'buena'), ('trabajadora', 'buena', 'y'), ('buena', 'y', 'dedicada'), ('y', 'dedicada', 'que'), ('dedicada', 'que', 'con'), ('que', 'con', 'o'), ('con', 'o', 'sin'), ('o', 'sin', 'apoyo'), ('sin', 'apoyo', 'han'), ('apoyo', 'han', 'sabido'), ('han', 'sabido', 'construir'), ('sabido', 'construir', 'una'), ('construir', 'una', 'de'), ('una', 'de', 'las'), ('de', 'las', 'regiones'), ('las', 'regiones', 'más'), ('regiones', 'más', 'fértiles'), ('más', 'fértiles', 'y'), ('fértiles', 'y', 'productivas'), ('y', 'productivas', 'de'), ('productivas', 'de', 'méxico'), ('de', 'méxico', 'y'), ('méxico', 'y', 'de'), ('y', 'de', 'toda'), ('de', 'toda', 'américa'), ('toda', 'américa', 'gracias'), ('américa', 'gracias', 'por'), ('gracias', 'por', 'recibirme'), ('por', 'recibirme', 'este'), ('recibirme', 'este', 'domingo')]",en tepa y todo el alto haber gente trabajador buen y dedicado que con o sin apoyo haber saber construir uno de el región más fértil y productivo de méxico y de todo américa gracia por recibir yo este domingo,"['tepa', 'alto', 'gente', 'trabajador', 'dedicado', 'apoyo', 'construir', 'región', 'fértil', 'productivo', 'méxico', 'américa', 'graciar', 'recibir', 'domingo']",0.0016864728771875167
42,les presento la cara de la corrupción les presento al señor que vende fentanilo,"['les', 'presento', 'la', 'cara', 'de', 'la', 'corrupción', 'les', 'presento', 'al', 'señor', 'que', 'vende', 'fentanilo']","[('les', 'presento'), ('presento', 'la'), ('la', 'cara'), ('cara', 'de'), ('de', 'la'), ('la', 'corrupción'), ('corrupción', 'les'), ('les', 'presento'), ('presento', 'al'), ('al', 'señor'), ('señor', 'que'), ('que', 'vende'), ('vende', 'fentanilo')]","[('les', 'presento', 'la'), ('presento', 'la', 'cara'), ('la', 'cara', 'de'), ('cara', 'de', 'la'), ('de', 'la', 'corrupción'), ('la', 'corrupción', 'les'), ('corrupción', 'les', 'presento'), ('les', 'presento', 'al'), ('presento', 'al', 'señor'), ('al', 'señor', 'que'), ('señor', 'que', 'vende'), ('que', 'vende', 'fentanilo')]",él presentar el cara de el corrupción él presentar al señor que vender fentanilo,"['presentar', 'cara', 'corrupción', 'presentar', 'señor', 'vender', 'fentanilo']",0.00017743973014442522
43,pudiendo dar un golpe maestro hacen una pendejada que los deja igual que no hacer nada,"['pudiendo', 'dar', 'un', 'golpe', 'maestro', 'hacen', 'una', 'pendejada', 'que', 'los', 'deja', 'igual', 'que', 'no', 'hacer', 'nada']","[('pudiendo', 'dar'), ('dar', 'un'), ('un', 'golpe'), ('golpe', 'maestro'), ('maestro', 'hacen'), ('hacen', 'una'), ('una', 'pendejada'), ('pendejada', 'que'), ('que', 'los'), ('los', 'deja'), ('deja', 'igual'), ('igual', 'que'), ('que', 'no'), ('no', 'hacer'), ('hacer', 'nada')]","[('pudiendo', 'dar', 'un'), ('dar', 'un', 'golpe'), ('un', 'golpe', 'maestro'), ('golpe', 'maestro', 'hacen'), ('maestro', 'hacen', 'una'), ('hacen', 'una', 'pendejada'), ('una', 'pendejada', 'que'), ('pendejada', 'que', 'los'), ('que', 'los', 'deja'), ('los', 'deja', 'igual'), ('deja', 'igual', 'que'), ('igual', 'que', 'no'), ('que', 'no', 'hacer'), ('no', 'hacer', 'nada')]",poder dar uno golpe maestro hacer uno pendejada que él dejar igual que no hacer nada,"['golpe', 'maestro', 'pendejada', 'dejar']",1.2965495668029845e-05
44,9,['9'],[],[],9,[],0.49789225920557484
45,le gustan los huevos con chorizo,"['le', 'gustan', 'los', 'huevos', 'con', 'chorizo']","[('le', 'gustan'), ('gustan', 'los'), ('los', 'huevos'), ('huevos', 'con'), ('con', 'chorizo')]","[('le', 'gustan', 'los'), ('gustan', 'los', 'huevos'), ('los', 'huevos', 'con'), ('huevos', 'con', 'chorizo')]",él gustar el huevo con chorizo,"['gustar', 'huevo', 'chorizo']",0.11726161064366263
46,no sé para que te haces tonta todos sabemos que siempre andas en andares con,"['no', 'sé', 'para', 'que', 'te', 'haces', 'tonta', 'todos', 'sabemos', 'que', 'siempre', 'andas', 'en', 'andares', 'con']","[('no', 'sé'), ('sé', 'para'), ('para', 'que'), ('que', 'te'), ('te', 'haces'), ('haces', 'tonta'), ('tonta', 'todos'), ('todos', 'sabemos'), ('sabemos', 'que'), ('que', 'siempre'), ('siempre', 'andas'), ('andas', 'en'), ('en', 'andares'), ('andares', 'con')]","[('no', 'sé', 'para'), ('sé', 'para', 'que'), ('para', 'que', 'te'), ('que', 'te', 'haces'), ('te', 'haces', 'tonta'), ('haces', 'tonta', 'todos'), ('tonta', 'todos', 'sabemos'), ('todos', 'sabemos', 'que'), ('sabemos', 'que', 'siempre'), ('que', 'siempre', 'andas'), ('siempre', 'andas', 'en'), ('andas', 'en', 'andares'), ('en', 'andares', 'con')]",no saber para que tú hacer tontar todo saber que siempre anda en andar con,"['tontar', 'andar', 'andar']",0.0004818691864017511
47,yo creo que gana don antonio,"['yo', 'creo', 'que', 'gana', 'don', 'antonio']","[('yo', 'creo'), ('creo', 'que'), ('que', 'gana'), ('gana', 'don'), ('don', 'antonio')]","[('yo', 'creo', 'que'), ('creo', 'que', 'gana'), ('que', 'gana', 'don'), ('gana', 'don', 'antonio')]",yo creer que ganar don antonio,"['creer', 'ganar', 'don', 'antonio']",0.04956686719389181
48,pues que ponga su consultorio pero no gobernará jalisco,"['pues', 'que', 'ponga', 'su', 'consultorio', 'pero', 'no', 'gobernará', 'jalisco']","[('pues', 'que'), ('que', 'ponga'), ('ponga', 'su'), ('su', 'consultorio'), ('consultorio', 'pero'), ('pero', 'no'), ('no', 'gobernará'), ('gobernará', 'jalisco')]","[('pues', 'que', 'ponga'), ('que', 'ponga', 'su'), ('ponga', 'su', 'consultorio'), ('su', 'consultorio', 'pero'), ('consultorio', 'pero', 'no'), ('pero', 'no', 'gobernará'), ('no', 'gobernará', 'jalisco')]",pues que poner su consultorio pero no gobernar jalisco,"['consultorio', 'gobernar', 'jalisco']",0.004913860568940749
49,1,['1'],[],[],1,[],0.49789225920557484
50,y qué es un corrupto ratero,"['y', 'qué', 'es', 'un', 'corrupto', 'ratero']","[('y', 'qué'), ('qué', 'es'), ('es', 'un'), ('un', 'corrupto'), ('corrupto', 'ratero')]","[('y', 'qué', 'es'), ('qué', 'es', 'un'), ('es', 'un', 'corrupto'), ('un', 'corrupto', 'ratero')]",y qué ser uno corrupto ratero,"['corrupto', 'ratero']",0.3465637962118602
51,jajaja,['jajaja'],[],[],jajaja,['jajaja'],0.49789225920557484
52,o puedes estar trabajando y quitarte tu patrimonio,"['o', 'puedes', 'estar', 'trabajando', 'y', 'quitarte', 'tu', 'patrimonio']","[('o', 'puedes'), ('puedes', 'estar'), ('estar', 'trabajando'), ('trabajando', 'y'), ('y', 'quitarte'), ('quitarte', 'tu'), ('tu', 'patrimonio')]","[('o', 'puedes', 'estar'), ('puedes', 'estar', 'trabajando'), ('estar', 'trabajando', 'y'), ('trabajando', 'y', 'quitarte'), ('y', 'quitarte', 'tu'), ('quitarte', 'tu', 'patrimonio')]",o poder estar trabajar y quitarir tú tu patrimonio,"['trabajar', 'quitarir', 'patrimonio']",0.08221887265391488
53,haber pendejos por está deuda no van a chistar sirvan para algo quieren que los tomen en serio portarse como hombres y manifieste su inconformidad para está deuda,"['haber', 'pendejos', 'por', 'está', 'deuda', 'no', 'van', 'a', 'chistar', 'sirvan', 'para', 'algo', 'quieren', 'que', 'los', 'tomen', 'en', 'serio', 'portarse', 'como', 'hombres', 'y', 'manifieste', 'su', 'inconformidad', 'para', 'está', 'deuda']","[('haber', 'pendejos'), ('pendejos', 'por'), ('por', 'está'), ('está', 'deuda'), ('deuda', 'no'), ('no', 'van'), ('van', 'a'), ('a', 'chistar'), ('chistar', 'sirvan'), ('sirvan', 'para'), ('para', 'algo'), ('algo', 'quieren'), ('quieren', 'que'), ('que', 'los'), ('los', 'tomen'), ('tomen', 'en'), ('en', 'serio'), ('serio', 'portarse'), ('portarse', 'como'), ('como', 'hombres'), ('hombres', 'y'), ('y', 'manifieste'), ('manifieste', 'su'), ('su', 'inconformidad'), ('inconformidad', 'para'), ('para', 'está'), ('está', 'deuda')]","[('haber', 'pendejos', 'por'), ('pendejos', 'por', 'está'), ('por', 'está', 'deuda'), ('está', 'deuda', 'no'), ('deuda', 'no', 'van'), ('no', 'van', 'a'), ('van', 'a', 'chistar'), ('a', 'chistar', 'sirvan'), ('chistar', 'sirvan', 'para'), ('sirvan', 'para', 'algo'), ('para', 'algo', 'quieren'), ('algo', 'quieren', 'que'), ('quieren', 'que', 'los'), ('que', 'los', 'tomen'), ('los', 'tomen', 'en'), ('tomen', 'en', 'serio'), ('en', 'serio', 'portarse'), ('serio', 'portarse', 'como'), ('portarse', 'como', 'hombres'), ('como', 'hombres', 'y'), ('hombres', 'y', 'manifieste'), ('y', 'manifieste', 'su'), ('manifieste', 'su', 'inconformidad'), ('su', 'inconformidad', 'para'), ('inconformidad', 'para', 'está'), ('para', 'está', 'deuda')]",haber pendejo por estar deudo no ir a chistar servir para algo querer que él tomar en serio portar él como hombre y manifiestir su inconformidad para estar deuda,"['pendejo', 'deudo', 'chistar', 'servir', 'querer', 'tomar', 'serio', 'portar', 'hombre', 'manifiestir', 'inconformidad', 'deuda']",0.00015598257094432988
54,3,['3'],[],[],3,[],0.49789225920557484
55,nos vemos mañana,"['nos', 'vemos', 'mañana']","[('nos', 'vemos'), ('vemos', 'mañana')]","[('nos', 'vemos', 'mañana')]",yo ver mañana,['mañana'],0.3228246845546627
56,pero ya todos sabemos que los varones van en tu cama con tu esposa,"['pero', 'ya', 'todos', 'sabemos', 'que', 'los', 'varones', 'van', 'en', 'tu', 'cama', 'con', 'tu', 'esposa']","[('pero', 'ya'), ('ya', 'todos'), ('todos', 'sabemos'), ('sabemos', 'que'), ('que', 'los'), ('los', 'varones'), ('varones', 'van'), ('van', 'en'), ('en', 'tu'), ('tu', 'cama'), ('cama', 'con'), ('con', 'tu'), ('tu', 'esposa')]","[('pero', 'ya', 'todos'), ('ya', 'todos', 'sabemos'), ('todos', 'sabemos', 'que'), ('sabemos', 'que', 'los'), ('que', 'los', 'varones'), ('los', 'varones', 'van'), ('varones', 'van', 'en'), ('van', 'en', 'tu'), ('en', 'tu', 'cama'), ('tu', 'cama', 'con'), ('cama', 'con', 'tu'), ('con', 'tu', 'esposa')]",pero ya todo saber que el varón ir en tu cama con tu esposa,"['varón', 'cama', 'esposa']",0.0010458480287809534
57,rata asquerosa,"['rata', 'asquerosa']","[('rata', 'asquerosa')]",[],rata asqueroso,"['rata', 'asqueroso']",0.49789225920557484
58,eres una mmada doctor corrupto,"['eres', 'una', 'mmada', 'doctor', 'corrupto']","[('eres', 'una'), ('una', 'mmada'), ('mmada', 'doctor'), ('doctor', 'corrupto')]","[('eres', 'una', 'mmada'), ('una', 'mmada', 'doctor'), ('mmada', 'doctor', 'corrupto')]",ser uno mmada doctor corrupto,"['mmada', 'doctor', 'corrupto']",0.2517456297231813
59,porque es mejor opción porque trae la escuela de robar y robar junto a sus hermanos que no debemos olvidar que ellos tres son equipo y uno de ellos anda de suplente de lemus votar por ella es solo darle continuidad a mc,"['porque', 'es', 'mejor', 'opción', 'porque', 'trae', 'la', 'escuela', 'de', 'robar', 'y', 'robar', 'junto', 'a', 'sus', 'hermanos', 'que', 'no', 'debemos', 'olvidar', 'que', 'ellos', 'tres', 'son', 'equipo', 'y', 'uno', 'de', 'ellos', 'anda', 'de', 'suplente', 'de', 'lemus', 'votar', 'por', 'ella', 'es', 'solo', 'darle', 'continuidad', 'a', 'mc']","[('porque', 'es'), ('es', 'mejor'), ('mejor', 'opción'), ('opción', 'porque'), ('porque', 'trae'), ('trae', 'la'), ('la', 'escuela'), ('escuela', 'de'), ('de', 'robar'), ('robar', 'y'), ('y', 'robar'), ('robar', 'junto'), ('junto', 'a'), ('a', 'sus'), ('sus', 'hermanos'), ('hermanos', 'que'), ('que', 'no'), ('no', 'debemos'), ('debemos', 'olvidar'), ('olvidar', 'que'), ('que', 'ellos'), ('ellos', 'tres'), ('tres', 'son'), ('son', 'equipo'), ('equipo', 'y'), ('y', 'uno'), ('uno', 'de'), ('de', 'ellos'), ('ellos', 'anda'), ('anda', 'de'), ('de', 'suplente'), ('suplente', 'de'), ('de', 'lemus'), ('lemus', 'votar'), ('votar', 'por'), ('por', 'ella'), ('ella', 'es'), ('es', 'solo'), ('solo', 'darle'), ('darle', 'continuidad'), ('continuidad', 'a'), ('a', 'mc')]","[('porque', 'es', 'mejor'), ('es', 'mejor', 'opción'), ('mejor', 'opción', 'porque'), ('opción', 'porque', 'trae'), ('porque', 'trae', 'la'), ('trae', 'la', 'escuela'), ('la', 'escuela', 'de'), ('escuela', 'de', 'robar'), ('de', 'robar', 'y'), ('robar', 'y', 'robar'), ('y', 'robar', 'junto'), ('robar', 'junto', 'a'), ('junto', 'a', 'sus'), ('a', 'sus', 'hermanos'), ('sus', 'hermanos', 'que'), ('hermanos', 'que', 'no'), ('que', 'no', 'debemos'), ('no', 'debemos', 'olvidar'), ('debemos', 'olvidar', 'que'), ('olvidar', 'que', 'ellos'), ('que', 'ellos', 'tres'), ('ellos', 'tres', 'son'), ('tres', 'son', 'equipo'), ('son', 'equipo', 'y'), ('equipo', 'y', 'uno'), ('y', 'uno', 'de'), ('uno', 'de', 'ellos'), ('de', 'ellos', 'anda'), ('ellos', 'anda', 'de'), ('anda', 'de', 'suplente'), ('de', 'suplente', 'de'), ('suplente', 'de', 'lemus'), ('de', 'lemus', 'votar'), ('lemus', 'votar', 'por'), ('votar', 'por', 'ella'), ('por', 'ella', 'es'), ('ella', 'es', 'solo'), ('es', 'solo', 'darle'), ('solo', 'darle', 'continuidad'), ('darle', 'continuidad', 'a'), ('continuidad', 'a', 'mc')]",porque ser mejor opción porque traer el escuela de robar y robar junto a su hermano que no deber olvidar que él tres ser equipo y uno de él andar de suplente de lemus votar por él ser solo dar él continuidad a mc,"['opción', 'traer', 'escuela', 'robar', 'robar', 'hermano', 'deber', 'olvidar', 'equipo', 'andar', 'suplente', 'lemus', 'votar', 'continuidad', 'mc']",1.1990618810937147e-07
60,cualquiera le gana a los rateros de movimiento ciudadano,"['cualquiera', 'le', 'gana', 'a', 'los', 'rateros', 'de', 'movimiento', 'ciudadano']","[('cualquiera', 'le'), ('le', 'gana'), ('gana', 'a'), ('a', 'los'), ('los', 'rateros'), ('rateros', 'de'), ('de', 'movimiento'), ('movimiento', 'ciudadano')]","[('cualquiera', 'le', 'gana'), ('le', 'gana', 'a'), ('gana', 'a', 'los'), ('a', 'los', 'rateros'), ('los', 'rateros', 'de'), ('rateros', 'de', 'movimiento'), ('de', 'movimiento', 'ciudadano')]",cualquiera él ganar a el ratero de movimiento ciudadano,"['cualquiera', 'ganar', 'ratero', 'movimiento', 'ciudadano']",0.10629689692584056
61,79,['79'],[],[],79,[],0.49789225920557484
62,se refiere al olor a caca,"['se', 'refiere', 'al', 'olor', 'a', 'caca']","[('se', 'refiere'), ('refiere', 'al'), ('al', 'olor'), ('olor', 'a'), ('a', 'caca')]","[('se', 'refiere', 'al'), ('refiere', 'al', 'olor'), ('al', 'olor', 'a'), ('olor', 'a', 'caca')]",él referir al olor a caca,"['referir', 'olor', 'caca']",0.02919051276691776
63,muy interesante y orgánica la organización y cobijo que le brindan varios funcionarios al parecer no será difícil elegir a uno o a una como candidata en un municipio del oriente mientras tanto biba el,"['muy', 'interesante', 'y', 'orgánica', 'la', 'organización', 'y', 'cobijo', 'que', 'le', 'brindan', 'varios', 'funcionarios', 'al', 'parecer', 'no', 'será', 'difícil', 'elegir', 'a', 'uno', 'o', 'a', 'una', 'como', 'candidata', 'en', 'un', 'municipio', 'del', 'oriente', 'mientras', 'tanto', 'biba', 'el']","[('muy', 'interesante'), ('interesante', 'y'), ('y', 'orgánica'), ('orgánica', 'la'), ('la', 'organización'), ('organización', 'y'), ('y', 'cobijo'), ('cobijo', 'que'), ('que', 'le'), ('le', 'brindan'), ('brindan', 'varios'), ('varios', 'funcionarios'), ('funcionarios', 'al'), ('al', 'parecer'), ('parecer', 'no'), ('no', 'será'), ('será', 'difícil'), ('difícil', 'elegir'), ('elegir', 'a'), ('a', 'uno'), ('uno', 'o'), ('o', 'a'), ('a', 'una'), ('una', 'como'), ('como', 'candidata'), ('candidata', 'en'), ('en', 'un'), ('un', 'municipio'), ('municipio', 'del'), ('del', 'oriente'), ('oriente', 'mientras'), ('mientras', 'tanto'), ('tanto', 'biba'), ('biba', 'el')]","[('muy', 'interesante', 'y'), ('interesante', 'y', 'orgánica'), ('y', 'orgánica', 'la'), ('orgánica', 'la', 'organización'), ('la', 'organización', 'y'), ('organización', 'y', 'cobijo'), ('y', 'cobijo', 'que'), ('cobijo', 'que', 'le'), ('que', 'le', 'brindan'), ('le', 'brindan', 'varios'), ('brindan', 'varios', 'funcionarios'), ('varios', 'funcionarios', 'al'), ('funcionarios', 'al', 'parecer'), ('al', 'parecer', 'no'), ('parecer', 'no', 'será'), ('no', 'será', 'difícil'), ('será', 'difícil', 'elegir'), ('difícil', 'elegir', 'a'), ('elegir', 'a', 'uno'), ('a', 'uno', 'o'), ('uno', 'o', 'a'), ('o', 'a', 'una'), ('a', 'una', 'como'), ('una', 'como', 'candidata'), ('como', 'candidata', 'en'), ('candidata', 'en', 'un'), ('en', 'un', 'municipio'), ('un', 'municipio', 'del'), ('municipio', 'del', 'oriente'), ('del', 'oriente', 'mientras'), ('oriente', 'mientras', 'tanto'), ('mientras', 'tanto', 'biba'), ('tanto', 'biba', 'el')]",mucho interesante y orgánico el organización y cobijo que él brindar varios funcionario al parecer no ser difícil elegir a uno o a uno como candidata en uno municipio del oriente mientras tanto bir el,"['interesante', 'orgánico', 'organización', 'cobijo', 'brindar', 'funcionario', 'parecer', 'difícil', 'elegir', 'candidata', 'municipio', 'oriente', 'bir']",0.0024716981899659874
